titulo,genero,sinopse
Rebecca,Romance Mistério Suspense,Um clássico do suspense gótico em uma mansão com a memória obsessiva da primeira esposa.
Jane Eyre,Romance Drama Mistério,A vida de uma governanta determinada e seu patrão misterioso com segredos no sótão.
O Nome da Rosa,Mistério Histórico,Investigação de crimes misteriosos em um mosteiro medieval isolado.
O Iluminado,Terror,Um escritor aceita o emprego de zelador em um hotel isolado durante o inverno acompanhado de sua família mas forças sobrenaturais começam a afetar sua sanidade.
Duna,Ficção Científica,Em um futuro distante um jovem nobre precisa liderar seu povo no controle do planeta desértico Arrakis a única fonte da substância mais valiosa do universo.
O Assassinato de Roger Ackroyd,Mistério,O detetive Hercule Poirot sai de sua aposentadoria para investigar a morte misteriosa de um homem rico em uma pequena vila inglesa cheia de suspeitos.
Orgulho e Preconceito,Romance,A história de amor turbulenta entre a espirituosa Elizabeth Bennet e o aristocrata orgulhoso Fitzwilliam Darcy na Inglaterra do século dezenove.
Steve Jobs,Biografia,A biografia detalhada do cofundador da Apple revelando sua personalidade genial e obsessiva que revolucionou a tecnologia o cinema de animação e a música.
Drácula,Terror,O jovem advogado Jonathan Harker viaja até a Transilvânia para ajudar um conde misterioso que na verdade é um vampiro ancestral com planos de invadir Londres.
Neuromancer,Ficção Científica,Um hacker decadente e talentoso é contratado para uma última missão no ciberespaço que envolve invadir uma inteligência artificial extremamente poderosa.
Garota Exemplar,Mistério,No aniversário de casamento de um casal a esposa desaparece misteriosamente e todas as pistas deixadas no local fazem o marido se tornar o principal suspeito.
Como Eu Era Antes de Você,Romance,Uma jovem alegre e humilde aceita o emprego de cuidadora de um homem tetraplégico rico e amargurado mudando a vida de ambos para sempre.
O Diário de Anne Frank,Biografia,Os relatos reais e emocionantes de uma jovem judia escondida com sua família em um sótão secreto em Amsterdã durante a ocupação nazista.
It A Coisa,Terror,Um grupo de amigos de infância se reúne anos depois em sua cidade natal para derrotar uma entidade sobrenatural maligna que se disfarça de palhaço e caça crianças.
Frankenstein,Ficção Científica,Um cientista obcecado desafia as leis da natureza e consegue dar vida a uma criatura feita de partes de cadáveres mas acaba abandonando sua própria criação.
O Código Da Vinci,Mistério,Um simbologista de Harvard se une a uma criptógrafa para desvendar um assassinato no Museu do Louvre que esconde um segredo milenar sobre a igreja católica.
Dom Casmurro,Romance,A clássica e ambígua história de amor de Bentinho e Capitu marcada pelo ciúme obsessivo do protagonista que passa a vida desconfiando da fidelidade da esposa.
Malala A Menina que Queria Ir para a Escola,Biografia,A história real da jovem paquistanesa que desafiou o regime do Talibã para defender o direito das mulheres à educação e acabou sobrevivendo a um atentado.
Fundação,Ficção Científica,Um matemático prevê a queda inevitável do império galáctico e cria uma organização secreta para preservar o conhecimento humano e acelerar o renascimento da civilização.
Um de Nós Está Mentindo,Mistério,Cinco estudantes entram em detenção na escola mas apenas quatro saem vivos após a morte misteriosa do criador de um aplicativo de fofocas local.
A Culpa É das Estrelas,Romance,Dois adolescentes que se conhecem em um grupo de apoio para pacientes com câncer desenvolvem uma história de amor intensa repleta de humor e reviravoltas emocionantes.